Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Total,Date,Time,Payment,COGS,Gross_Margin_Percentage,Gross_Income,Rating
212-33-9751,B,Mandalay,Member,Female,Food and beverages,40.08,2,4.008,84.168,28-06-2024,20:28:00,Credit card,80.16,4.7619,4.008,7
293-86-5670,B,Mandalay,Normal,Male,Food and beverages,73.05,4,14.61,306.81,26-03-2024,10:21:00,Ewallet,292.2,4.7619,14.61,9
977-84-9952,B,Mandalay,Member,Female,Food and beverages,96.16,6,28.848,605.808,28-06-2024,19:11:00,Cash,576.96,4.7619,28.848,6.4
775-35-9771,A,Yangon,Normal,Male,Food and beverages,35.61,5,8.9025,186.9525,24-01-2024,12:19:00,Ewallet,178.05,4.7619,8.9025,6.9
451-57-5983,B,Mandalay,Member,Female,Health and beauty,74.68,9,33.606,705.726,28-04-2024,14:12:00,Cash,672.12,4.7619,33.606,7.1
942-83-5502,B,Mandalay,Member,Female,Sports and travel,66.58,7,23.303,489.363,10-06-2024,12:40:00,Credit card,466.06,4.7619,23.303,9.7
194-21-7881,B,Mandalay,Member,Male,Food and beverages,31.28,5,7.82,164.22,21-03-2024,18:52:00,Ewallet,156.4,4.7619,7.82,5.5
914-48-8009,C,Naypyitaw,Normal,Female,Fashion accessories,48.81,9,21.9645,461.2545,23-06-2024,12:17:00,Ewallet,439.29,4.7619,21.9645,4.5
172-28-5766,A,Yangon,Normal,Male,Electronic accessories,74.11,6,22.233,466.893,30-05-2024,14:44:00,Credit card,444.66,4.7619,22.233,4
150-71-3772,B,Mandalay,Normal,Male,Sports and travel,42.04,9,18.918,397.278,07-04-2024,17:50:00,Credit card,378.36,4.7619,18.918,6.9
333-11-5428,C,Naypyitaw,Member,Male,Food and beverages,84.03,1,4.2015,88.2315,16-06-2024,17:11:00,Cash,84.03,4.7619,4.2015,8.5
393-91-9683,B,Mandalay,Normal,Female,Home and lifestyle,26.86,3,4.029,84.609,15-06-2024,18:23:00,Credit card,80.58,4.7619,4.029,4.2
738-55-6042,A,Yangon,Member,Female,Health and beauty,61.98,3,9.297,195.237,26-04-2024,18:01:00,Cash,185.94,4.7619,9.297,6.1
195-87-5915,C,Naypyitaw,Normal,Male,Fashion accessories,50.33,6,15.099,317.079,31-03-2024,12:50:00,Cash,301.98,4.7619,15.099,6.1
410-12-5996,C,Naypyitaw,Normal,Female,Sports and travel,41.59,2,4.159,87.339,11-02-2024,15:17:00,Cash,83.18,4.7619,4.159,8.8
559-44-8717,C,Naypyitaw,Member,Male,Health and beauty,12.15,5,3.0375,63.7875,10-05-2024,18:53:00,Cash,60.75,4.7619,3.0375,4.8
883-51-2186,A,Yangon,Member,Male,Food and beverages,99.88,6,29.964,629.244,13-03-2024,18:41:00,Cash,599.28,4.7619,29.964,8.8
804-97-6268,A,Yangon,Member,Female,Sports and travel,48.12,7,16.842,353.682,21-04-2024,14:24:00,Credit card,336.84,4.7619,16.842,8.9
582-85-9599,B,Mandalay,Normal,Male,Home and lifestyle,52.84,6,15.852,332.892,29-04-2024,20:11:00,Ewallet,317.04,4.7619,15.852,8.8
662-76-7433,C,Naypyitaw,Member,Female,Food and beverages,98.8,4,19.76,414.96,25-05-2024,20:44:00,Cash,395.2,4.7619,19.76,5.1
837-59-1372,C,Naypyitaw,Normal,Female,Food and beverages,16.42,7,5.747,120.687,13-02-2024,15:21:00,Ewallet,114.94,4.7619,5.747,8.1
640-86-2948,C,Naypyitaw,Normal,Male,Health and beauty,30.4,6,9.12,191.52,02-01-2024,10:02:00,Cash,182.4,4.7619,9.12,4.8
992-64-7410,C,Naypyitaw,Normal,Male,Food and beverages,41.84,10,20.92,439.32,12-04-2024,16:12:00,Ewallet,418.4,4.7619,20.92,4.4
717-86-2227,B,Mandalay,Normal,Female,Health and beauty,62.47,10,31.235,655.935,18-01-2024,11:54:00,Cash,624.7,4.7619,31.235,7.1
793-72-8412,B,Mandalay,Normal,Male,Health and beauty,36.27,5,9.0675,190.4175,26-03-2024,10:55:00,Cash,181.35,4.7619,9.0675,5.1
750-34-1416,B,Mandalay,Member,Female,Food and beverages,69.78,8,27.912,586.152,27-01-2024,17:58:00,Cash,558.24,4.7619,27.912,7.7
401-60-4555,B,Mandalay,Normal,Male,Home and lifestyle,51.6,6,15.48,325.08,10-01-2024,15:02:00,Ewallet,309.6,4.7619,15.48,8.9
610-38-4804,C,Naypyitaw,Normal,Male,Sports and travel,77.53,7,27.1355,569.8455,21-03-2024,15:41:00,Ewallet,542.71,4.7619,27.1355,5.3
827-71-6627,A,Yangon,Normal,Female,Food and beverages,63.74,7,22.309,468.489,03-03-2024,16:13:00,Ewallet,446.18,4.7619,22.309,4.2
589-76-1758,A,Yangon,Member,Female,Sports and travel,25.15,7,8.8025,184.8525,27-06-2024,20:56:00,Ewallet,176.05,4.7619,8.8025,9.3
912-98-5943,B,Mandalay,Normal,Male,Food and beverages,27.87,8,11.148,234.108,22-01-2024,16:42:00,Ewallet,222.96,4.7619,11.148,6.7
667-32-2607,A,Yangon,Member,Female,Health and beauty,26.73,9,12.0285,252.5985,05-04-2024,19:00:00,Ewallet,240.57,4.7619,12.0285,9.5
644-24-5351,A,Yangon,Normal,Male,Home and lifestyle,88.81,4,17.762,373.002,19-06-2024,10:10:00,Ewallet,355.24,4.7619,17.762,8.5
987-42-9126,B,Mandalay,Normal,Male,Fashion accessories,34.2,5,8.55,179.55,02-05-2024,10:50:00,Ewallet,171,4.7619,8.55,6.3
833-71-6892,B,Mandalay,Member,Male,Health and beauty,38.5,2,3.85,80.85,10-01-2024,14:35:00,Cash,77,4.7619,3.85,4.4
157-16-4543,B,Mandalay,Normal,Male,Food and beverages,49.42,5,12.355,259.455,24-04-2024,13:53:00,Credit card,247.1,4.7619,12.355,4.2
943-73-4474,B,Mandalay,Normal,Male,Sports and travel,55.31,4,11.062,232.302,10-05-2024,19:47:00,Ewallet,221.24,4.7619,11.062,7.8
926-77-4249,A,Yangon,Member,Male,Sports and travel,67.61,6,20.283,425.943,31-01-2024,15:44:00,Credit card,405.66,4.7619,20.283,7.8
408-37-8424,C,Naypyitaw,Member,Male,Food and beverages,91.13,5,22.7825,478.4325,16-05-2024,11:46:00,Ewallet,455.65,4.7619,22.7825,7.7
216-14-4633,A,Yangon,Normal,Female,Home and lifestyle,32.36,2,3.236,67.956,03-04-2024,10:57:00,Ewallet,64.72,4.7619,3.236,6.3
206-63-7385,A,Yangon,Member,Female,Electronic accessories,29.34,1,1.467,30.807,06-03-2024,19:25:00,Cash,29.34,4.7619,1.467,8.5
356-13-5299,B,Mandalay,Member,Male,Electronic accessories,16.9,8,6.76,141.96,28-02-2024,14:07:00,Credit card,135.2,4.7619,6.76,7.1
672-94-8031,C,Naypyitaw,Member,Male,Food and beverages,41.5,4,8.3,174.3,24-02-2024,13:15:00,Cash,166,4.7619,8.3,6.3
764-52-9196,A,Yangon,Member,Male,Fashion accessories,25.68,2,2.568,53.928,30-03-2024,15:51:00,Credit card,51.36,4.7619,2.568,8.5
728-28-1351,A,Yangon,Member,Male,Food and beverages,93.71,3,14.0565,295.1865,11-05-2024,15:58:00,Ewallet,281.13,4.7619,14.0565,9.4
669-40-8929,C,Naypyitaw,Normal,Male,Fashion accessories,90.58,9,40.761,855.981,22-06-2024,13:35:00,Cash,815.22,4.7619,40.761,4.9
207-12-9089,B,Mandalay,Member,Male,Sports and travel,69.34,3,10.401,218.421,30-01-2024,11:35:00,Credit card,208.02,4.7619,10.401,7.7
886-80-3558,C,Naypyitaw,Normal,Female,Health and beauty,60.47,5,15.1175,317.4675,25-01-2024,18:29:00,Ewallet,302.35,4.7619,15.1175,6.5
409-82-4219,B,Mandalay,Member,Female,Home and lifestyle,18.73,8,7.492,157.332,24-04-2024,18:28:00,Ewallet,149.84,4.7619,7.492,5.8
426-29-2551,B,Mandalay,Normal,Female,Health and beauty,78.3,10,39.15,822.15,05-01-2024,14:28:00,Ewallet,783,4.7619,39.15,5.9
802-40-6204,C,Naypyitaw,Normal,Female,Fashion accessories,66.14,8,26.456,555.576,14-05-2024,18:17:00,Credit card,529.12,4.7619,26.456,4.9
994-27-3454,C,Naypyitaw,Member,Female,Health and beauty,26.12,4,5.224,109.704,15-05-2024,10:44:00,Ewallet,104.48,4.7619,5.224,5.6
426-93-8944,C,Naypyitaw,Member,Female,Sports and travel,11.29,4,2.258,47.418,21-05-2024,16:08:00,Credit card,45.16,4.7619,2.258,4.6
992-33-4788,A,Yangon,Member,Male,Sports and travel,85.15,3,12.7725,268.2225,27-04-2024,13:37:00,Credit card,255.45,4.7619,12.7725,9
667-18-8101,A,Yangon,Normal,Male,Electronic accessories,91.03,3,13.6545,286.7445,17-03-2024,19:30:00,Credit card,273.09,4.7619,13.6545,9.8
568-30-7954,A,Yangon,Normal,Female,Health and beauty,78.39,7,27.4365,576.1665,10-02-2024,10:41:00,Ewallet,548.73,4.7619,27.4365,6.8
983-93-4328,C,Naypyitaw,Member,Male,Sports and travel,50.68,4,10.136,212.856,29-02-2024,10:05:00,Ewallet,202.72,4.7619,10.136,5.8
196-53-2562,A,Yangon,Member,Female,Health and beauty,47.93,3,7.1895,150.9795,10-05-2024,10:34:00,Credit card,143.79,4.7619,7.1895,6.8
725-57-1517,A,Yangon,Member,Female,Home and lifestyle,83.92,1,4.196,88.116,17-06-2024,13:19:00,Cash,83.92,4.7619,4.196,6.5
438-89-4153,A,Yangon,Member,Female,Sports and travel,95.85,8,38.34,805.14,11-03-2024,15:42:00,Cash,766.8,4.7619,38.34,4.2
719-34-9773,B,Mandalay,Member,Female,Electronic accessories,41.36,2,4.136,86.856,03-05-2024,18:11:00,Cash,82.72,4.7619,4.136,9.6
932-91-8024,C,Naypyitaw,Normal,Male,Sports and travel,12.18,5,3.045,63.945,08-02-2024,11:31:00,Cash,60.9,4.7619,3.045,7.1
711-92-3176,B,Mandalay,Member,Male,Food and beverages,37.14,9,16.713,350.973,17-05-2024,19:18:00,Cash,334.26,4.7619,16.713,8.2
898-59-3176,B,Mandalay,Member,Male,Health and beauty,70.38,4,14.076,295.596,23-06-2024,12:13:00,Credit card,281.52,4.7619,14.076,6.4
509-36-4354,A,Yangon,Normal,Female,Sports and travel,33.74,3,5.061,106.281,21-06-2024,16:18:00,Cash,101.22,4.7619,5.061,7.4
166-68-8127,B,Mandalay,Member,Female,Health and beauty,56.73,3,8.5095,178.6995,07-04-2024,18:32:00,Credit card,170.19,4.7619,8.5095,5.9
336-36-5129,B,Mandalay,Normal,Female,Home and lifestyle,61.54,2,6.154,129.234,05-03-2024,18:33:00,Cash,123.08,4.7619,6.154,8.8
960-26-2454,C,Naypyitaw,Member,Male,Health and beauty,29.15,1,1.4575,30.6075,18-02-2024,11:14:00,Ewallet,29.15,4.7619,1.4575,4.6
610-52-8451,A,Yangon,Normal,Female,Health and beauty,70.75,8,28.3,594.3,09-04-2024,14:19:00,Credit card,566,4.7619,28.3,8
796-61-2512,C,Naypyitaw,Normal,Female,Fashion accessories,89.99,3,13.4985,283.4685,25-03-2024,16:24:00,Cash,269.97,4.7619,13.4985,4.2
576-93-1162,C,Naypyitaw,Member,Female,Home and lifestyle,97.47,7,34.1145,716.4045,03-04-2024,10:20:00,Cash,682.29,4.7619,34.1145,4.4
225-32-5888,C,Naypyitaw,Normal,Female,Fashion accessories,95.78,3,14.367,301.707,28-05-2024,10:23:00,Credit card,287.34,4.7619,14.367,9.5
408-26-3866,B,Mandalay,Normal,Female,Food and beverages,51.75,8,20.7,434.7,18-01-2024,20:37:00,Credit card,414,4.7619,20.7,4.1
611-39-8087,A,Yangon,Normal,Female,Fashion accessories,18.56,3,2.784,58.464,13-01-2024,15:35:00,Ewallet,55.68,4.7619,2.784,8.2
947-75-8937,A,Yangon,Member,Male,Home and lifestyle,41.89,7,14.6615,307.8915,29-06-2024,15:10:00,Cash,293.23,4.7619,14.6615,5.1
683-84-3699,A,Yangon,Normal,Female,Food and beverages,50.59,3,7.5885,159.3585,16-05-2024,14:47:00,Credit card,151.77,4.7619,7.5885,7.9
857-16-1781,B,Mandalay,Member,Female,Electronic accessories,69.99,5,17.4975,367.4475,03-04-2024,11:55:00,Ewallet,349.95,4.7619,17.4975,9.1
134-55-9977,C,Naypyitaw,Member,Female,Electronic accessories,43.85,2,4.385,92.085,18-01-2024,10:35:00,Credit card,87.7,4.7619,4.385,8.8
632-26-7194,B,Mandalay,Member,Male,Sports and travel,35.52,7,12.432,261.072,27-01-2024,12:46:00,Credit card,248.64,4.7619,12.432,6
720-64-3923,A,Yangon,Normal,Male,Sports and travel,39.59,1,1.9795,41.5695,25-03-2024,10:26:00,Ewallet,39.59,4.7619,1.9795,4.6
447-65-8140,C,Naypyitaw,Normal,Female,Electronic accessories,86.15,8,34.46,723.66,09-03-2024,12:12:00,Credit card,689.2,4.7619,34.46,6.5
690-14-4736,C,Naypyitaw,Normal,Female,Health and beauty,32.16,5,8.04,168.84,21-01-2024,17:40:00,Ewallet,160.8,4.7619,8.04,7.2
946-93-6679,A,Yangon,Normal,Male,Sports and travel,18.72,7,6.552,137.592,07-03-2024,18:28:00,Credit card,131.04,4.7619,6.552,4.2
295-32-8402,C,Naypyitaw,Member,Female,Fashion accessories,43.1,10,21.55,452.55,23-03-2024,12:04:00,Credit card,431,4.7619,21.55,7.1
791-34-3590,C,Naypyitaw,Member,Male,Fashion accessories,65.59,1,3.2795,68.8695,14-02-2024,15:00:00,Cash,65.59,4.7619,3.2795,4.9
659-98-5065,B,Mandalay,Normal,Female,Home and lifestyle,48.39,3,7.2585,152.4285,12-02-2024,18:05:00,Cash,145.17,4.7619,7.2585,4.5
451-30-1342,C,Naypyitaw,Member,Female,Health and beauty,89.29,7,31.2515,656.2815,08-01-2024,18:40:00,Ewallet,625.03,4.7619,31.2515,8.9
227-19-8626,C,Naypyitaw,Member,Female,Fashion accessories,39.17,5,9.7925,205.6425,12-01-2024,18:06:00,Cash,195.85,4.7619,9.7925,7.8
517-95-8776,A,Yangon,Normal,Male,Electronic accessories,61.77,6,18.531,389.151,28-02-2024,14:04:00,Cash,370.62,4.7619,18.531,6.8
131-24-2194,C,Naypyitaw,Member,Male,Fashion accessories,51.16,7,17.906,376.026,05-02-2024,12:25:00,Cash,358.12,4.7619,17.906,4.6
103-97-8017,A,Yangon,Member,Female,Food and beverages,51.64,8,20.656,433.776,16-06-2024,15:21:00,Credit card,413.12,4.7619,20.656,5.1
304-96-2968,B,Mandalay,Normal,Male,Food and beverages,73.5,6,22.05,463.05,19-05-2024,14:31:00,Credit card,441,4.7619,22.05,8.1
626-47-1756,A,Yangon,Member,Male,Fashion accessories,30.14,10,15.07,316.47,16-03-2024,16:25:00,Credit card,301.4,4.7619,15.07,9
596-80-4775,C,Naypyitaw,Member,Male,Health and beauty,50.58,8,20.232,424.872,27-04-2024,14:04:00,Cash,404.64,4.7619,20.232,8
116-85-6453,A,Yangon,Normal,Male,Health and beauty,48.3,9,21.735,456.435,13-04-2024,12:25:00,Cash,434.7,4.7619,21.735,9.1
745-28-2162,B,Mandalay,Normal,Male,Health and beauty,32.52,5,8.13,170.73,03-06-2024,10:03:00,Ewallet,162.6,4.7619,8.13,4.5
580-49-9036,B,Mandalay,Member,Female,Sports and travel,96.99,9,43.6455,916.5555,12-05-2024,18:49:00,Cash,872.91,4.7619,43.6455,6.9
115-21-9161,A,Yangon,Member,Male,Home and lifestyle,61.66,3,9.249,194.229,10-03-2024,15:06:00,Ewallet,184.98,4.7619,9.249,5
769-29-9451,B,Mandalay,Normal,Female,Home and lifestyle,18.4,8,7.36,154.56,16-06-2024,18:27:00,Credit card,147.2,4.7619,7.36,7.5
109-50-6803,B,Mandalay,Normal,Male,Food and beverages,27.59,1,1.3795,28.9695,07-04-2024,18:10:00,Credit card,27.59,4.7619,1.3795,5.7
736-51-1142,B,Mandalay,Normal,Female,Health and beauty,49.59,4,9.918,208.278,04-01-2024,15:22:00,Ewallet,198.36,4.7619,9.918,9.1
441-35-8239,B,Mandalay,Normal,Female,Fashion accessories,29.1,6,8.73,183.33,09-01-2024,20:36:00,Cash,174.6,4.7619,8.73,6.5
382-17-2423,B,Mandalay,Normal,Male,Sports and travel,61.14,4,12.228,256.788,19-05-2024,18:31:00,Ewallet,244.56,4.7619,12.228,8.2
134-91-8972,C,Naypyitaw,Normal,Female,Health and beauty,72.25,1,3.6125,75.8625,11-04-2024,14:19:00,Cash,72.25,4.7619,3.6125,8.6
587-96-8420,A,Yangon,Member,Male,Sports and travel,69.23,6,20.769,436.149,11-04-2024,10:27:00,Cash,415.38,4.7619,20.769,6
927-38-7659,A,Yangon,Member,Male,Fashion accessories,30.47,9,13.7115,287.9415,14-06-2024,11:12:00,Credit card,274.23,4.7619,13.7115,8.8
826-42-6880,B,Mandalay,Member,Female,Food and beverages,38.99,1,1.9495,40.9395,17-01-2024,14:29:00,Credit card,38.99,4.7619,1.9495,7.9
856-40-1153,A,Yangon,Normal,Female,Home and lifestyle,77.29,7,27.0515,568.0815,04-06-2024,16:11:00,Cash,541.03,4.7619,27.0515,4.1
595-44-2038,B,Mandalay,Normal,Male,Health and beauty,13.68,10,6.84,143.64,22-01-2024,19:49:00,Cash,136.8,4.7619,6.84,8.7
196-64-6198,A,Yangon,Normal,Male,Health and beauty,74.25,9,33.4125,701.6625,25-02-2024,11:43:00,Ewallet,668.25,4.7619,33.4125,7.4
934-87-2860,A,Yangon,Member,Male,Food and beverages,88.51,4,17.702,371.742,08-04-2024,18:27:00,Ewallet,354.04,4.7619,17.702,7.8
633-72-2412,A,Yangon,Member,Female,Fashion accessories,41.77,10,20.885,438.585,09-02-2024,18:52:00,Ewallet,417.7,4.7619,20.885,5.6
385-56-6440,C,Naypyitaw,Member,Male,Home and lifestyle,65.56,2,6.556,137.676,16-05-2024,14:50:00,Credit card,131.12,4.7619,6.556,7
572-91-2126,B,Mandalay,Normal,Male,Sports and travel,95.13,7,33.2955,699.2055,09-04-2024,11:42:00,Cash,665.91,4.7619,33.2955,6
270-12-2127,C,Naypyitaw,Member,Male,Food and beverages,10.03,7,3.5105,73.7205,17-04-2024,13:58:00,Credit card,70.21,4.7619,3.5105,8.9
291-68-7125,B,Mandalay,Member,Female,Food and beverages,75.51,5,18.8775,396.4275,23-06-2024,16:52:00,Credit card,377.55,4.7619,18.8775,7.7
149-63-7003,A,Yangon,Member,Male,Health and beauty,48.2,2,4.82,101.22,15-02-2024,17:06:00,Ewallet,96.4,4.7619,4.82,5.6
663-78-1135,A,Yangon,Normal,Male,Food and beverages,21.59,10,10.795,226.695,24-03-2024,19:29:00,Cash,215.9,4.7619,10.795,4.2
443-79-5108,C,Naypyitaw,Member,Male,Home and lifestyle,25.12,9,11.304,237.384,23-06-2024,18:32:00,Ewallet,226.08,4.7619,11.304,7.8
196-90-5507,A,Yangon,Member,Female,Health and beauty,44.12,2,4.412,92.652,16-03-2024,12:31:00,Cash,88.24,4.7619,4.412,5.4
670-33-4778,A,Yangon,Member,Male,Fashion accessories,44.56,5,11.14,233.94,05-05-2024,10:21:00,Ewallet,222.8,4.7619,11.14,9.5
948-93-4152,C,Naypyitaw,Normal,Male,Food and beverages,24.8,4,4.96,104.16,18-06-2024,19:57:00,Credit card,99.2,4.7619,4.96,7.7
893-96-7098,A,Yangon,Normal,Female,Home and lifestyle,55.79,9,25.1055,527.2155,07-06-2024,15:07:00,Credit card,502.11,4.7619,25.1055,7.2
975-36-8708,C,Naypyitaw,Normal,Female,Food and beverages,97.56,9,43.902,921.942,23-04-2024,10:49:00,Ewallet,878.04,4.7619,43.902,7
613-19-3575,A,Yangon,Normal,Female,Fashion accessories,51.45,9,23.1525,486.2025,25-06-2024,15:35:00,Credit card,463.05,4.7619,23.1525,8
743-67-4434,C,Naypyitaw,Member,Male,Electronic accessories,61.6,3,9.24,194.04,02-03-2024,19:51:00,Ewallet,184.8,4.7619,9.24,8.1
394-90-4349,B,Mandalay,Normal,Male,Electronic accessories,61.18,4,12.236,256.956,08-04-2024,16:48:00,Cash,244.72,4.7619,12.236,6.1
771-11-9352,B,Mandalay,Normal,Male,Sports and travel,80.17,3,12.0255,252.5355,30-03-2024,15:35:00,Cash,240.51,4.7619,12.0255,7.8
226-87-8619,A,Yangon,Member,Male,Home and lifestyle,96.79,7,33.8765,711.4065,04-04-2024,13:15:00,Cash,677.53,4.7619,33.8765,8.8
714-88-6419,A,Yangon,Normal,Female,Home and lifestyle,39.99,10,19.995,419.895,21-02-2024,18:52:00,Credit card,399.9,4.7619,19.995,8.6
374-49-1569,A,Yangon,Normal,Female,Health and beauty,30.29,10,15.145,318.045,03-02-2024,10:32:00,Cash,302.9,4.7619,15.145,9
762-14-2699,A,Yangon,Normal,Female,Fashion accessories,17.61,10,8.805,184.905,21-06-2024,13:25:00,Ewallet,176.1,4.7619,8.805,8.5
360-78-7881,A,Yangon,Member,Male,Home and lifestyle,41.12,4,8.224,172.704,25-01-2024,17:02:00,Credit card,164.48,4.7619,8.224,9.7
708-53-1151,A,Yangon,Member,Female,Health and beauty,82.3,3,12.345,259.245,27-01-2024,14:32:00,Credit card,246.9,4.7619,12.345,4
645-82-2117,C,Naypyitaw,Normal,Male,Fashion accessories,14.85,9,6.6825,140.3325,11-04-2024,13:31:00,Ewallet,133.65,4.7619,6.6825,7.1
379-39-1357,B,Mandalay,Normal,Female,Food and beverages,62.22,6,18.666,391.986,26-03-2024,10:44:00,Credit card,373.32,4.7619,18.666,6
747-19-7530,B,Mandalay,Member,Female,Electronic accessories,86.14,6,25.842,542.682,17-06-2024,10:36:00,Credit card,516.84,4.7619,25.842,9.6
837-30-9290,A,Yangon,Normal,Male,Fashion accessories,39.39,10,19.695,413.595,24-01-2024,15:26:00,Credit card,393.9,4.7619,19.695,9.5
255-14-3601,A,Yangon,Member,Female,Health and beauty,27.52,2,2.752,57.792,02-03-2024,15:30:00,Ewallet,55.04,4.7619,2.752,9.3
402-41-6711,A,Yangon,Normal,Male,Sports and travel,94.31,8,37.724,792.204,11-05-2024,18:48:00,Cash,754.48,4.7619,37.724,8.2
148-12-2012,C,Naypyitaw,Normal,Male,Sports and travel,77.22,6,23.166,486.486,11-03-2024,16:49:00,Cash,463.32,4.7619,23.166,9.9
798-82-8055,C,Naypyitaw,Normal,Female,Home and lifestyle,54.16,4,10.832,227.472,07-01-2024,10:54:00,Cash,216.64,4.7619,10.832,9.1
945-54-7693,B,Mandalay,Normal,Male,Health and beauty,33.18,4,6.636,139.356,21-03-2024,12:06:00,Credit card,132.72,4.7619,6.636,6.5
683-41-8289,C,Naypyitaw,Normal,Female,Electronic accessories,21.3,9,9.585,201.285,28-06-2024,16:11:00,Ewallet,191.7,4.7619,9.585,7.7
665-66-5980,C,Naypyitaw,Normal,Male,Health and beauty,60.35,7,21.1225,443.5725,31-05-2024,13:26:00,Ewallet,422.45,4.7619,21.1225,4.7
241-41-6065,C,Naypyitaw,Normal,Female,Fashion accessories,82.69,10,41.345,868.245,17-04-2024,10:04:00,Credit card,826.9,4.7619,41.345,5.7
899-31-2451,C,Naypyitaw,Member,Female,Home and lifestyle,79.28,5,19.82,416.22,29-06-2024,17:47:00,Cash,396.4,4.7619,19.82,4
590-36-8413,B,Mandalay,Member,Female,Fashion accessories,59.57,6,17.871,375.291,10-05-2024,11:50:00,Ewallet,357.42,4.7619,17.871,9.3
210-74-1777,C,Naypyitaw,Normal,Female,Food and beverages,11.64,5,2.91,61.11,22-03-2024,20:24:00,Cash,58.2,4.7619,2.91,7.6
534-22-2903,B,Mandalay,Member,Male,Food and beverages,41.14,10,20.57,431.97,12-03-2024,19:19:00,Cash,411.4,4.7619,20.57,7.4
471-54-8511,A,Yangon,Normal,Female,Fashion accessories,97.44,1,4.872,102.312,24-02-2024,13:17:00,Cash,97.44,4.7619,4.872,8.1
362-60-1367,C,Naypyitaw,Normal,Female,Food and beverages,40.01,7,14.0035,294.0735,10-01-2024,11:09:00,Ewallet,280.07,4.7619,14.0035,4.7
803-22-8254,B,Mandalay,Member,Male,Food and beverages,77.98,6,23.394,491.274,01-02-2024,18:56:00,Credit card,467.88,4.7619,23.394,8.3
286-61-4454,A,Yangon,Member,Female,Home and lifestyle,67.79,5,16.9475,355.8975,01-04-2024,20:57:00,Cash,338.95,4.7619,16.9475,7.2
954-91-7768,A,Yangon,Normal,Male,Electronic accessories,42.49,9,19.1205,401.5305,08-03-2024,11:49:00,Cash,382.41,4.7619,19.1205,4.9
481-42-1711,C,Naypyitaw,Member,Male,Fashion accessories,38.41,8,15.364,322.644,21-01-2024,15:46:00,Credit card,307.28,4.7619,15.364,9
957-30-8670,B,Mandalay,Member,Female,Fashion accessories,64.49,5,16.1225,338.5725,21-06-2024,11:09:00,Ewallet,322.45,4.7619,16.1225,6.1
476-86-1027,C,Naypyitaw,Member,Male,Health and beauty,53.71,6,16.113,338.373,22-03-2024,20:37:00,Cash,322.26,4.7619,16.113,6.4
636-31-3792,B,Mandalay,Normal,Male,Electronic accessories,90.51,6,27.153,570.213,19-04-2024,14:55:00,Cash,543.06,4.7619,27.153,4.3
785-61-3296,A,Yangon,Normal,Female,Fashion accessories,69.81,8,27.924,586.404,08-01-2024,18:38:00,Ewallet,558.48,4.7619,27.924,7.6
634-70-5205,B,Mandalay,Normal,Male,Home and lifestyle,21.78,7,7.623,160.083,31-03-2024,15:47:00,Cash,152.46,4.7619,7.623,4.9
400-66-7711,C,Naypyitaw,Member,Male,Food and beverages,70.68,3,10.602,222.642,23-03-2024,13:11:00,Ewallet,212.04,4.7619,10.602,9.4
